IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
382199,Versus Teatre,Versus Teatre,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Castillejos, 179",,,08013,Barcelona,Barcelonès,936035152,,,431783.785,4583714.629,2.183906546073483,41.402080062295326,info@versusteatre.net,http://www.versusteatre.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382200,Teatre Tantarantana,Teatre Tantarantana,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Les Flors, 22",,,08001,Barcelona,Barcelonès,934417022,,,430372.865,4580825.542,2.167361012591045,41.37593804410416,teatre@tantarantana.com,http://www.tantarantana.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382201,El Polvorí,El Polvorí,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Camí del Polvorí, S/n",,,08038,Barcelona,Barcelonès,678751788,,,428334.914,4579481.516,2.143151522979819,41.36365396451356,info@teatrodelossentidos.com,http://www.teatrodelossentidos.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382203,Teatre Gaudí Barcelona,Teatre Gaudí Barcelona,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Sant Antoni M. Claret, 120",,,08025,Barcelona,Barcelonès,936035152,,,430585.603,4584320.069,2.169504291609093,41.407430497310784,info@teatregaudi.com,http://www.teatregaudibarcelona.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382204,Nau Ivanow,Nau Ivanow,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Hondures, 28-30",,,08027,Barcelona,Barcelonès,933407468,,,4585703.081644984,432297.9087434178,2.1898341,41.4200329,nauivanow@nauivanow.com,http://www.nauivanow.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382205,Teatre del Raval,Teatre del Raval,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Sant Antoni Abat, 12",,,08001,Barcelona,Barcelonès,934433819,,,4581208.42617044,430197.841149089,2.1652241,41.3793714,contacte@teatredelraval.com,http://www.teatredelraval.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382206,Sala Muntaner,Sala Muntaner,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Muntaner, 4",,,08011,Barcelona,Barcelonès,933235227,,,430019.233,4581726.556,2.163028477013045,41.38402251390694,salamuntaner@telefonica.net,http://www.salamuntaner.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382207,la Caldera,la Caldera,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Torrent d'En Vidalet, 43",,,08012,Barcelona,Barcelonès,934156851,,,4584042.110517787,429650.0916867168,2.158345,41.4048457,info@lacaldera.info,http://www.lacaldera.info,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382208,Sala Beckett,Sala Beckett,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Alegre de Dalt, 55-Bis",,,08024,Barcelona,Barcelonès,932845312,,,4581833.842787614,430887.8187429098,2.1734035,41.3850639,info@salabeckett.cat,http://www.salabeckett.cat,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382378,Brossa Espai Escènic,Brossa Espai Escènic,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Allada Vermell, 13",,,08003,Barcelona,Barcelonès,933101364,,,431540.808,4582025.895,2.181190921073594,41.38684949238086,info@espaibrossa.com,http://www.espaibrossa.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382379,la Seca,la Seca,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Serra Xic, 2 (Local 2)",,,08003,Barcelona,Barcelonès,933151596,,,4581833.842787614,430887.8187429098,2.1734035,41.3850639,info@espaibrossa.com,http://www.espaibrossa.com,02/08/2018 06:12:54 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382380,Almeria Teatre,Almeria Teatre,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Sant Lluís, 64",,,08024,Barcelona,Barcelonès,933518231,,,429907.192,4584177.926,2.161404861503274,41.40609139812206,info@almeriateatre.com,http://www.almeriateatre.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382381,Teatreneu,Teatreneu,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Terol, 26",,,08012,Barcelona,Barcelonès,932853712,,,429666.577,4583865.03,2.158562783561376,41.40325224345969,info@teatreneu.com,http://www.teatreneu.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382383,Teatre Victòria,Teatre Victòria,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Av. Paral.Lel, 65-67",,,08004,Barcelona,Barcelonès,933299189,,,430511.504,4580695.25,2.169033701512242,41.37477652652569,teatrevictoria@3xtr3s.com,http://www.teatrevictoria.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382384,Teatre Tivoli,Teatre Tivoli,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Casp, 8-10",,,08010,Barcelona,Barcelonès,934122063,,,4588008.176236735,433810.1961018607,2.207677,41.4409202,info@grupbalana.com,http://www.grupbalana.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382386,Teatre Romea,Teatre Romea,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Hospital, 51",,,08001,Barcelona,Barcelonès,933015504,,,430687.637,4581335.032,2.171066581606758,41.380554041504645,info@teatreromea.com,http://www.teatreromea.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382388,Teatre Poliorama,Teatre Poliorama,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," la Rambla, 115",,,08002,Barcelona,Barcelonès,933177599,,,4581731.269471598,430661.7433692932,2.1707116,41.3841206,teatrepoliorama@3xtr3s.com,http://www.teatrepoliorama.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382389,Teatre Goya,Teatre Goya,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Joaquín Costa, 68",,,08001,Barcelona,Barcelonès,933435323,,,430124.528,4581723.9,2.164287985219925,41.38400774454241,info@teatregoya.cat,http://www.teatregoya.cat,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382390,Teatre Condal,Teatre Condal,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Av. Paral.Lel, 91",,,08004,Barcelona,Barcelonès,934423132,,,428971.678,4580762.586,2.150613985633831,41.37524856704801,info@teatrecondal.cat,http://www.teatrecondal.cat,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382391,Teatre Borràs,Teatre Borràs,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Pl. Urquinaona, 9",,,08010,Barcelona,Barcelonès,934121582,,,430908.211,4582254.749,2.17359936786072,41.38885662467578,borras@grupbalana.com,http://www.grupbalana.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382392,Teatre Apolo,Teatre Apolo,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Av. Paral.Lel, 59-61",,,08004,Barcelona,Barcelonès,934419007,,,430597.435,4580747.147,2.170055247402185,41.37525136270948,info@teatreapolo.com,http://www.teatreapolo.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382393,la Villaroel,la Villaroel,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Villaroel, 87",,,08011,Barcelona,Barcelonès,934511234,,,429557.573,4581785.611,2.157500718203602,41.38451411156332,info@lavillaroel.cat,http://www.villaroelteatre.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382394,Jove Teatre Regina,Jove Teatre Regina,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Sèneca, 22",,,08006,Barcelona,Barcelonès,932181522,,,429457.925,4583155.726,2.156149472228409,41.39684552247271,teatreregina@jtregina.com,http://www.jtregina.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382395,Guasch Teatre,Guasch Teatre,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Aragó, 140",,,08011,Barcelona,Barcelonès,933233950,,,429435.838,4581881.956,2.156033684484309,41.38537118925621,guasch_teatre@guaschteatre.com,http://www.guaschteatre.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382396,Coliseum,Coliseum,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Gran Via Corts Catalanes, 595",,,08007,Barcelona,Barcelonès,933171448,,,430285.627,4582183.982,2.166161594497411,41.38816553092665,info@grupbalana.com,http://www.grupbalana.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382397,Club Capitol,Club Capitol,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," la Rambla, 138",,,08002,Barcelona,Barcelonès,934122038,,,4581843.197360153,430653.624745652,2.1706017,41.385128,info@grupbalana.com,http://www.grupbalana.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382398,Artèria Paral.Lel,Artèria Paral.Lel,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Av. Paral.Lel, 62",,,08001,Barcelona,Barcelonès,,,,430557.844,4580736.756,2.169583039817924,41.37515435870464,info@arteria.com,http://www.arteria.com,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382399,Teatre Ovidi Montllor i Teatre Estudi de l'Institut del Teatre,Teatre Ovidi Montllor i Teatre Estudi de l'Institut del Teatre,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Pl. Margarida Xirgu, S/n",,,08004,Barcelona,Barcelonès,932273900,,,429511.695,4580293.224,2.157125632756347,41.37106865686902,it.teatre@institutdelteatre.cat,,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382400,Lliure de Gràcia,Lliure de Gràcia,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Montseny, 47",,,08012,Barcelona,Barcelonès,932189251,,,429452.912,4583809.111,2.156013375062936,41.40272988127009,,,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382401,Barcelona Teatre Musical,Barcelona Teatre Musical,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Guàrdia Urbana, S/n",,,08004,Barcelona,Barcelonès,Barcelona,,,429272.11,4580329.453,2.154256832140191,41.371373941662185,creaciofabraicoats@bcn.cat,,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382402,Teatre Grec,Teatre Grec,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Pg. Santa Madrona, 36",,,08038,Barcelona,Barcelonès,933161000,,,429610.435,4580041.654,2.158335413532888,41.368811486594794,,http://www.bcn.cat/cultura,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382403,Central del Circ,Central del Circ,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Parc del Fòrum. Esplanada del Fòrum, S/n",,,08019,Barcelona,Barcelonès,935972441,,,435306.467731825,4584581.822773778,2.225953093933185,41.410181857125394,info@lacentraldelcirc.cat,http://www.lacentraldelcirc.cat,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382407,Antic Teatre,Antic Teatre,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," C. Verdaguer i Callís, 12",,,08003,Barcelona,Barcelonès,933152354,,,431098.091,4582062.039,2.175892198578885,41.38713723176631,anticteatre@anticteatre.com,,02/08/2018 06:12:52 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382408,Sat Teatre,Sat Teatre,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," C. Neopàtria, 54",,,08030,Barcelona,Barcelonès,933457930,,,432231.17,4586875.09,2.188904178833926,41.43058316313711,escoles@santandreuteatre.net,http://w3.bcn.cat,02/08/2018 06:12:52 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382409,Teatre Nacional de Catalunya,Teatre Nacional de Catalunya,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," Plaça de les Arts, 1",,,08013,Barcelona,Barcelonès,933065700,,,431963.51,4583447.047,2.186086520301379,41.399685260753905,info@tnc.cat,http://www.tnc.cat,02/08/2018 06:12:52 AM +0000,Any de construcció|1996|Any del cens|2012|Superfície total en m2|25925|Titularitat|Pública   ,
382410,Palau de la Música,Palau de la Música,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," C. Palau de la Música, 4-6",,,08003,Barcelona,Barcelonès,932957200,,,431026.878,4582096.844,2.175036570729962,41.38744460690738,atencioclient@palaumusica.cat,http://www.palaumusica.org,02/08/2018 06:12:52 AM +0000,Any del cens|2012|Titularitat|Privada   ,
382411,Mercat de les Flors,Mercat de les Flors,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," C. Lleida, 59",,,08004,Barcelona,Barcelonès,932562614,,,429470.941,4580237.028,2.156644898415784,41.370558947339106,t.mercatflors@mail.bcn.es,http://www.mercatflors.org,02/08/2018 06:12:52 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382412,l'Auditori,l'Auditori,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," C. Lepant, 150",,,08013,Barcelona,Barcelonès,932479300,,,431860.25,4583301.612,2.184867719511167,41.39836662731125,info@auditori.org,http://www.auditori.org,02/08/2018 06:12:52 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382413,Gran Teatre del Liceu,Gran Teatre del Liceu,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," la Rambla, 51-59",,,08002,Barcelona,Barcelonès,934859971,,,4581287.985273684,430935.2711221398,2.1740332,41.3801516,informacio@liceubarcelona.com,http://www.liceubarcelona.com,02/08/2018 06:12:52 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382414,Teatre Lliure,Teatre Lliure,"Cultura|Teatres, auditoris i espais escènics especialitzats||",," C. Plaça Margarida Xirgu, 1",,,08004,Barcelona,Barcelonès,932892770,,,429536.805,4580246.265,2.157431315602407,41.370647910817006,info@teatrelliure.com,http://www.teatrelliure.com,02/08/2018 06:12:52 AM +0000,Any del cens|2012|Titularitat|Privada   ,
