IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
2023560,CAP Les Hortes,CAP Les Hortes,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR NOU DE RAMBLA, 177",,,08004,Barcelona,Barcelonès,933249100,,93 324 91 01,430300.568,4580346.531,2.166551608,41.371617479,eappoblesec@comb.es,http://www.eappoblesec.com,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 20.30 h i ds. de 9 a 14 h (ATDOM de 9 a 17 h). Fora d'aquest horari telèfon 061 CatSalut Respon o al CAP Manso (CUAP). Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.|Telèfon cita prèvia|93 324 91 00,
2023561,CAP Les Planes,CAP Les Planes,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," PS SOLÉ I PLA, 16-18, portal 1",,,08017,Barcelona,Barcelonès,932805632,,93 204 21 98,423899.578,4586588.119,2.089234514,41.427252408,citaprevia@capsarria.com,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 13.30 h. A la tarda poden anar al CAP Sarrià i ds. de 9 a 14 h també. Fora d'aquest horari telèfon 061 CatSalut Respon o a  l'Hospital Plató. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg. Horari d'estiu: 3-07-2017 al 15-09-2017 de 8 a 11:30h|Telèfon cita prèvia|93 280 56 32,
2023562,CAP Manso - Equip Poble Sec Montjuïc,CAP Manso - Equip Poble Sec Montjuïc,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MANSO, 19",,,08015,Barcelona,Barcelonès,935517283,,,429752.048,4580857.251,2.159934034,41.376169684,,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h. Fora d'aquest horari truqueu al 061 CatSalut Respon 24 h en el mateix centre CUAP Manso. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023563,CAP Manso - Equip Sant Antoni,CAP Manso - Equip Sant Antoni,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MANSO, 19",,,08015,Barcelona,Barcelonès,935517283,,,429752.048,4580857.251,2.159934034,41.376169684,,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h. Fora d'aquest horari truqueu al 061 CatSalut Respon 24 h en el mateix centre CUAP Manso. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023564,CAP Manso - Equip Universitat,CAP Manso - Equip Universitat,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MANSO, 19",,,08015,Barcelona,Barcelonès,935517283,,(1),429752.048,4580857.251,2.159934034,41.376169684,,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h. Fora d'aquest horari truqueu al 061 CatSalut Respon 24 h en el mateix centre CUAP Manso. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023565,CAP Manso - Equip Via Roma,CAP Manso - Equip Via Roma,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MANSO, 19",,,08015,Barcelona,Barcelonès,935517283,,(1),429752.048,4580857.251,2.159934034,41.376169684,,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h. Fora d'aquest horari truqueu al 061 CatSalut Respon 24 h en el mateix centre CUAP Manso. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023566,CAP Montnegre - Equip Les Corts Pedralbes,CAP Montnegre - Equip Les Corts Pedralbes,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MONTNEGRE, 21",,,08029,Barcelona,Barcelonès,933632965,,93 321 98 78,428043.405,4582167.235,2.139347714,41.387817245,Capmontnegre.pbcn@ics.scs.es,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h. (ds. 9 a 17 h al CAP Numància). Fora d'aquest horari telèfon 061 CatSalut Respon o l' Hospital Universitària Sagrat Cor o  al CUAP Manso Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023567,CAP Montnegre - Equip Montnegre,CAP Montnegre - Equip Montnegre,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MONTNEGRE, 21",,,08029,Barcelona,Barcelonès,933632965,,93 321 98 78,428043.405,4582167.235,2.139347714,41.387817245,Capmontnegre.pbcn@ics.scs.es,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h. (ds. 9 a 17 h al CAP Numància). Fora d'aquest horari telèfon 061 CatSalut Respon o l' Hospital Universitària Sagrat Cor o  al CUAP Manso Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023568,CAP Numància,CAP Numància,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR NUMÀNCIA, 23, pis BA",,,08029,Barcelona,Barcelonès,934955886/934955887,,93 495 58 88,428138.429,4581510.283,2.140562065,41.381908823,capnumancia.pbcn@ics.scs.es,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h i ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o  Hospital Universitàri Sagrat Cor o al CAP Manso (CUAP). Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023569,CAP Pare Claret,CAP Pare Claret,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR SANT ANTONI MARIA CLARET, 19-23",,,08037,Barcelona,Barcelonès,932082384,,93 208 25 74,430192.549,4583948.035,2.164845058,41.404045683,,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h i ds. 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o Hospital Esperança de 8 a 20 h  o a l'Hospital Dos de Maig (CUAP),
2023570,CAP Passeig de Maragall - Equip Camp de l'Arpa,CAP Passeig de Maragall - Equip Camp de l'Arpa,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," PS MARAGALL, 52-54",,,08041,Barcelona,Barcelonès,933268901,,93 347 78 37,431512.591,4585227.515,2.180491257,41.415683079,,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h i ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o  o al CAP Cotxeres (CUAP) o a l'Hospital  Dos de Maig (CUAP),
2023571,CAP Passeig de Maragall - Equip Encants,CAP Passeig de Maragall - Equip Encants,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," PS MARAGALL, 52-54",,,08041,Barcelona,Barcelonès,934465757,,93 347 78 37,431512.591,4585227.515,2.180491257,41.415683079,,,10/31/2017 08:09:15 AM +0000,Horari|de dl. a dv. de 8 a 20 h i ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o  o al CAP Cotxeres (CUAP) o a l'Hospital  Dos de Maig (CUAP),
2023572,CAP Sants,CAP Sants,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," PG DEL VAPOR VELL, 44-46",,,08028,Barcelona,Barcelonès,934915197/934955885,,93 330 31 85,427679.012,4580963.144,2.135133497,41.376939787,abssants.pbcn@ics.scs.es,,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. de 8 a 20 h. (ds. de 9 a 17 h. al CAP Numància).  Fora d'aquest horari telèfon 061 CatSalut Respon o al CUAP Manso. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2023573,CAP Sardenya,CAP Sardenya,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR SARDENYA, 466",,,08025,Barcelona,Barcelonès,935674380,,,430261.981,4584509.444,2.165610946,41.40910812,administració@eapsardenya.cat,http://www.eapsardenya.cat,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. de 8 a 20 h. ds. de 9 a 14 h. Fora d'aquest horari telèfon 061 CatSalut Respon o a l'Hospital Dos de maig (CUAP)|Telèfon cita prèvia|93 567 43 80,
2023574,CAP Sarrià,CAP Sarrià,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," VI AUGUSTA, 366",,,08017,Barcelona,Barcelonès,932042288,,93 204 12 03,426474.892,4583542.685,2.120422285,41.400063476,citaprevia@capsarria.com,http://www.capsarria.com,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. de 8 a 21 h i ds. de 9 a 14 h. Fora d'aquest horari telèfon 061 CatSalut Respon o l'Hospital Plató. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.|Telèfon cita prèvia|93 204 22 88,
2023575,CAP Travessera de Gràcia,CAP Travessera de Gràcia,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," TS DE GRÀCIA, 346",,,08025,Barcelona,Barcelonès,934352309,,93 456 03 62,430643.949,4584488.849,2.170182948,41.408955677,,,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. De 8 a 20 h. Fora d'aquest horari al tel. 061 CatSalut Respon o a l'Hospital del Pallars.,
2023576,CAP Trinitat Vella,CAP Trinitat Vella,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," VI BARCINO, 88",,,08033,Barcelona,Barcelonès,932741909,,93 345 01 50,432570.615,4589145.576,2.192713059,41.451061209,,,10/31/2017 08:09:14 AM +0000,"Horari|de dl. a dv. de 8 a 20 h. ds. de 9 a 14 h CAP Sant Andreu Fora d'aquest horari Telèfon 061 CatSalut Respon , CUAP Casernes de Sant Andreu.",
2023577,CAP Turó - Equip Vilapicina,CAP Turó - Equip Vilapicina,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR CADÍ, 58-62",,,08031,Barcelona,Barcelonès,934074055,,93 420 27 14,430681.444,4587175.143,2.170323614,41.433153374,,,10/31/2017 08:09:14 AM +0000,"Horari|de dl. a dv. de 8 a 20 h.ds. de 9 a 17 h CAP Guineueta. Fora d'aquest horari telèfon 061 CatSalut Respon , al CUAP Cotxeres",
2023578,CAP Turó - Turó de la Peira,CAP Turó - Turó de la Peira,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR CADÍ, 58-62",,,08031,Barcelona,Barcelonès,934074055,,93 420 27 14,430681.444,4587175.143,2.170323614,41.433153374,,,10/31/2017 08:09:14 AM +0000,"Horari|de dl. a dv. de 8 a 20 h.ds. de 9 a 17 h CAP Guineueta. Fora d'aquest horari telèfon 061 CatSalut Respon , al CUAP Cotxeres",
2023579,CAP Vallcarca-Sant Gervasi - Equip Sant Gervasi,CAP Vallcarca-Sant Gervasi - Equip Sant Gervasi,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," AV VALLCARCA, 169-205",,,08023,Barcelona,Barcelonès,932594422,,93 259 44 44,428176.906,4585100.674,2.140596284,41.414249472,pvirgili@perevirgili.catsalut.net,http://www.aprimariavsg.com,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. de 8 a 21 h.ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o al CUAP Horta|Telèfon cita prèvia|93 259 44 22,
2023580,CAP Vallcarca-Sant Gervasi - Equip Vallcarca,CAP Vallcarca-Sant Gervasi - Equip Vallcarca,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," AV VALLCARCA, 169-205",,,08023,Barcelona,Barcelonès,932594422,,93 259 44 44,428176.906,4585100.674,2.140596284,41.414249472,pvirgili@perevirgili.catsalut.net,http://www.aprimariavsg.com,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. de 8 a 21 h.ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o al CUAP Horta|Telèfon cita prèvia|93 259 44 22,
2023581,CAP Vallvidrera,CAP Vallvidrera,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR REIS CATÒLICS, 2",,,08017,Barcelona,Barcelonès,934068453,,93 406 91 93,425123.977,4585082.524,2.104072717,41.413807365,citaprevia@capsarria.com,,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. de 8 a 13.30 h. A la tarda poden anar al CAP Sarrià i ds. de 9 a 14 h també. Fora d'aquest horari telèfon 061 CatSalut Respon o adreseu-vos a l'hospital Plató. Urgències pediàtriques  de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.|Telèfon cita prèvia|93 406 84 53,
2023582,CAP Vila de Gràcia-Cibeles,CAP Vila de Gràcia-Cibeles,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR CÒRSEGA, 363",,,08037,Barcelona,Barcelonès,932082384,,93 208 25 74,429948.545,4583354.156,2.161994899,41.3986756,,,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. de 8 a 20 h i ds. 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o Hospital Esperança de 8 a 20 h  o a l'Hospital Dos de Maig (CUAP),
2023583,CAP Vila Olímpica,CAP Vila Olímpica,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR JOAN MIRÓ, 17",,,08005,Barcelona,Barcelonès,932213785,,93 225 45 02,432672.077,4582431.787,2.194675105,41.390600736,info@capvilaolimpica.net,http://www.pamem.cat,10/31/2017 08:09:14 AM +0000,Horari|de dl. a dv. de 8 a 21 h i ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o  al CAP Sant Martí (CUAP).,
2023599,Centre de Salut Isabel Roig CAP Casernes de Sant Andreu,Centre de Salut Isabel Roig CAP Casernes de Sant Andreu,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR FERNANDO PESSOA, 47-51",,,08030,Barcelona,Barcelonès,932747955,,,432478.935,4588059.646,2.191736935,41.44127292,,,10/31/2017 08:09:13 AM +0000,Horari|de dl. a dg. 24 hores.,
2023645,CUAP Casernes de Sant Andreu,CUAP Casernes de Sant Andreu,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR FERNANDO PESSOA, 47-51",,,08030,Barcelona,Barcelonès,932747950,,,432478.935,4588059.646,2.191736935,41.44127292,,,10/31/2017 08:09:11 AM +0000,Horari|24 hores,
2023647,CUAP Ciutat Vella - Peracamps,CUAP Ciutat Vella - Peracamps,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," PL PIEYRE DE MANDIARGUES, 1-5",,,08003,Barcelona,Barcelonès,,,,430768.669,4581005.697,2.1720372,41.3777948,,,10/31/2017 08:09:11 AM +0000,Horari|Atenció continuada 24 h,
2023649,CUAP Cotxeres,CUAP Cotxeres,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," AV BORBÓ, 18-30",,,08016,Barcelona,Barcelonès,932438989,,,431159.98,4586409.016,2.176137904,41.426294311,,,10/31/2017 08:09:11 AM +0000,Horari|24 hores,
2023651,CUAP Dos de Maig,CUAP Dos de Maig,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR DOS DE MAIG, 301",,,08025,Barcelona,Barcelonès,935072700,,,431219.206,4584676.445,2.177043657,41.410694722,,http://www.sanitatintegral.org/ciutadans/centres/hospital-dos-maig/,10/31/2017 08:09:11 AM +0000,Horari|24 hores,
2023654,CUAP Gràcia,CUAP Gràcia,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR SANT JOSEP DE LA MUNTANYA, 12",,,08024,Barcelona,Barcelonès,933674100,,,429323.634,4584723.979,2.154360087,41.410958394,,http://www.imasbcn.com,10/31/2017 08:09:11 AM +0000,Horari|De 8 a 24 hores,
2023656,CUAP Horta,CUAP Horta,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR SANT GAUDENCI, 21",,,08031,Barcelona,Barcelonès,934289517,,,429529.924,4587175.667,2.156542389,41.433057878,,,10/31/2017 08:09:11 AM +0000,Horari|24 hores,
2023658,CUAP Manso,CUAP Manso,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR MANSO, 19",,,08015,Barcelona,Barcelonès,935543161,,,429752.048,4580857.251,2.159934034,41.376169684,,,10/31/2017 08:09:11 AM +0000,Horari|24 hores.,
2023660,CUAP Sant Martí,CUAP Sant Martí,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR FLUVIÀ, 209-211",,,08020,Barcelona,Barcelonès,933562162,,,432878.789,4584985.748,2.196864218,41.413620829,,,10/31/2017 08:09:11 AM +0000,Horari|24 hores,
2023666,Hospital - CUAP Plató,Hospital - CUAP Plató,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR PLATÓ, 21",,,08006,Barcelona,Barcelonès,933069900,,,428326.27,4583617.005,2.142559031,41.400900011,,http://www.hospitalplato.com/,10/31/2017 08:09:10 AM +0000,Horari|24 hores,
2023668,Hospital - CUAP Sagrat Cor,Hospital - CUAP Sagrat Cor,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR VILADOMAT, 288",,,08029,Barcelona,Barcelonès,933221111,,,428552.738,4582267.613,2.145427209,41.388766713,,http://www.hscor.com,10/31/2017 08:09:10 AM +0000,Horari|24 hores,
2026156,CAP Carreras Candi,CAP Carreras Candi,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR CARRERAS CANDI, 99",,,08014,Barcelona,Barcelonès,934321689,,93 4319915,427204.296,4580335.509,2.129532496,41.371244119,jartigues.bcn.ics@gencat.cat,,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 20 h. ds. de 9 a 17 h al CAP Numància. Fora d'aquest horari telèfon 061 CatSalut Respon o a l'Hospital Sagrat Cor o  CUAP Manso. Urgències pediàtriques de 8 a 22 h al Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg.,
2026157,CAP Casanova,CAP Casanova,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR ROSSELLÓ, 161-163",,,08036,Barcelona,Barcelonès,932279800,,93 227 91 53,429201.689,4582414.708,2.15317123,41.390148926,capse@clinic.ub.es,http://www.caprossello.cat/,10/31/2017 08:09:16 AM +0000,"Horari|de dl. a dv. de 8 a 20 h i ds. de 9 a 14 h (ATDOM fins les 17 h). Fora d'aquest horari telèfon 061 CatSalut Respon, CUAP Manso, Hospital Sagrat Cor, Hospital Plató i Urg. Pediàtriques Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE)|Telèfon cita prèvia|93 227 98 00",
2026158,CAP Casc Antic,CAP Casc Antic,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR REC COMTAL, 24",,,08003,Barcelona,Barcelonès,933101421,,93 310 68 86,431468.327,4582415.223,2.180280048,41.390349884,cvca01.pbcn@ics.scs.es,,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 20 h i ds. de 9 a 17 h. Fora d'aquest horari telèfon 061 CatSalut Respon o al Centre Peracamps (CUAP).,
2026159,CAP Centre Integral de Salut Cotxeres,CAP Centre Integral de Salut Cotxeres,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," AV BORBÓ, 18-30",,,08016,Barcelona,Barcelonès,932438989,,93 243 89 92,431159.98,4586409.016,2.176137904,41.426294311,cotxeres@consorci.org,http://www.cotxeres.consorci.org,10/31/2017 08:09:16 AM +0000,"Horari|de dl. a dv. de 8 a 20 h. Fora d'aquest horari Telèfon 061 CatSalut Respon , CUAP Cotxeres en el mateix centre, CUAP Horta o CUAP Casernes de Sant Andreu|Telèfon cita prèvia|93 243 89 93",
2026160,CAP Chafarinas,CAP Chafarinas,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR CHAFARINAS, 2-8",,,08033,Barcelona,Barcelonès,933542222,,93 354 16 15,431769.616,4588685.637,2.183176127,41.446851021,,,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 20 h i ds. de 9 a 14 h. Fora d'aquest horari telèfon 061 CatSalut Respon o al CUAP Casernes de Sant Andreu.,
2026161,CAP Ciutat Meridiana,CAP Ciutat Meridiana,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CR SANT FELIU DE CODINES, 2",,,08033,Barcelona,Barcelonès,933508889,,93 276 38 32,431548.8632238015,4590175.718511172,2.180364700000041,41.4602528,,,10/31/2017 08:09:16 AM +0000,Horari|de dl. a dv. de 8 a 20 h. ds. 24 h. Fora d'aquest horari telèfon 061 CatSalut Respon o CUAP Casernes,
