IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
24716,Alberg Ruta del Ferro,Alberg Ruta del Ferro,Turisme|Albergs de joventut||,," Parc de l'Estació, s/n",,,17860,Sant Joan de les Abadesses,Ripollès,972 72 04 95,,,441076.619776395,4676515.718257134,2.285901,42.238562,alberg@ santjoandelesabadesses.com,http://www.xanascat.cat/showhostelcont.tjc?id=237&index=34,02/08/2018 06:16:52 AM +0000,Horari|De 9 a 13 i de 17 a 20 h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24715,Alberg Rectoria de la Selva,Alberg Rectoria de la Selva,Turisme|Albergs de joventut||,, Rectoria de la Selva,,,25286,Navès,Solsonès,973 29 92 71,,973 80 52 99,388106.4096514354,4659646.094014355,1.646981,42.080824,,http://www.xanascat.cat/showhostel.tjc?id=237&index=22,02/08/2018 06:16:52 AM +0000,Horari|De 10 a 13h i de 17 a 20h.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24713,Alberg Pere Tarrés,Alberg Pere Tarrés,Turisme|Albergs de joventut||,," Carrer de Numància, 149-151",,,08029,Barcelona,Barcelonès,93 430 16 06,,93 419 62 68,427582.7452432822,4582201.343414632,2.133834418,41.388083106,scv@peretarres.org,http://www.xanascat.cat/showhostel.tjc?id=237&index=32,02/08/2018 06:16:52 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24712,Alberg Pere Figuera,Alberg Pere Figuera,Turisme|Albergs de joventut||,," Carretera de Nevà, s/n - Prat Cap Riu",,,17535,Planoles,Ripollès,972 73 61 77,,972 73 64 31,425846.6599754511,4684925.846853987,2.100226,42.313062,alberg.planoles@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=16,02/08/2018 06:16:53 AM +0000,"Horari|De 8.30 h a 13 h, de 17 h a 20 h i de 21 h a 22.30 h. 
|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.",
24710,Alberg Mossèn Antoni Batlle,Alberg Mossèn Antoni Batlle,Turisme|Albergs de joventut||,," Avinguda de les Goles de l'Ebre, s/n",,,43580,Deltebre,Baix Ebre,977 48 01 36,,977 48 12 84,307875.1551010999,4510696.47183488,0.72534,40.724815,alberg.deltebre@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=5,02/08/2018 06:16:53 AM +0000,Horari|De 9 a 23 h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24708,Alberg Matacabós,Alberg Matacabós,Turisme|Albergs de joventut||,," Avinguda Sant Jaume, s/n",,,25540,Les,Val d'Aran,973 64 80 48,,973 64 83 52,312764.737074463,4742576.360247794,0.709905152,42.812724365,matacabos@aran.org,,02/08/2018 06:16:53 AM +0000,Horari|De 8 a 12.30 h i de 18 a 22 h.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24647,Alberg Mas de la Coixa,Alberg Mas de la Coixa,Turisme|Albergs de joventut||,," Rotonda de l'eix de l'Ebre, s/n",,,43770,Móra la Nova,Ribera d'Ebre,977 40 05 41,,93 268 91 12,302685.4601924407,4551966.575198032,0.65058,41.095075,masdelacoixa@yahoo.es,http://www.xanascat.cat/showhostel.tjc?id=237&index=26,02/08/2018 06:16:53 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24644,Alberg Mare de Déu de Montserrat,Alberg Mare de Déu de Montserrat,Turisme|Albergs de joventut||,," Passeig de la Mare de Déu del Coll, 41-51",,,08023,Barcelona,Barcelonès,93 210 51 51,,93 210 07 98,428665.505488473,4585307.294014717,2.146848391,41.416157123,alberg.barcelona@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=1,02/08/2018 06:16:53 AM +0000,Horari|De 8 a 15 h i de 16.30 a 23 h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24643,Alberg Josep Maria Batista i Roca,Alberg Josep Maria Batista i Roca,Turisme|Albergs de joventut||,," Avinguda dels Senyors Cusí i Furtunet, 52",,,08320,"Masnou, el",Maresme,93 555 56 00,,93 540 05 52,443316.9355966189,4592871.321574221,2.320879904,41.485484655,alberg.masnou@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=6,02/08/2018 06:16:53 AM +0000,"Horari|Aquesta instal·lació romandrà tancada temporalment, per a més informació us podeu adreçar al 934838363 (central de reserves de la Xanascat).|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.",
24642,Alberg Jaume I,Alberg Jaume I,Turisme|Albergs de joventut||,," Carretera de les Masies, s/n",,,43440,"Espluga de Francolí, l'",Conca de Barberà,977 87 03 56,,977 87 04 14,340391.7512088326,4582616.336621135,1.091219,41.379256,alberg.espluga@gencat.cat,http://www.xanascat.cat/showhostel.tjc?id=237&index=11,02/08/2018 06:16:53 AM +0000,Horari|De 9 a 13'30h i de 15 a 21h.|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24641,Alberg In/Out,Alberg In/Out,Turisme|Albergs de joventut||,," Carrer Major del Rectoret, 2",,,08017,Barcelona,Barcelonès,93 280 09 85,,93 280 18 57,424666.0641228854,4586076.353552914,2.098452739,41.42271837,reserves@inoutalberg.com,http://www.xanascat.cat/showhostel.tjc?id=237&index=28,02/08/2018 06:16:53 AM +0000,Horari|Obert les 24 hores del dia.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24640,Alberg Ideal Youth Hostel,Alberg Ideal Youth Hostel,Turisme|Albergs de joventut||,," Carrer de la Unió, 10-12",,,08001,Barcelona,Barcelonès,93 342 61 77,,93 412 38 48,430884.3549745652,4581227.688854035,2.173489752,41.379703659,ideal@idealhostel.com ,http://www.xanascat.cat/showhostel.tjc?id=237&index=35,02/08/2018 06:16:53 AM +0000,Horari|Obert les 24 hores.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24639,Alberg Escola de Piraguisme de Sort,Alberg Escola de Piraguisme de Sort,Turisme|Albergs de joventut||,," Carretera N-260, km 280",,,25560,Sort,Pallars Sobirà,973 62 07 75,,,346106.6275510789,4696946.470519873,1.129829,42.40955,info@epsort.com,http://www.xanascat.cat/showhostel.tjc?id=237&index=40,02/08/2018 06:16:53 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24638,Alberg Era Garona,Alberg Era Garona,Turisme|Albergs de joventut||,," Carretera de Vielha (C-28), s/n",,,25598,Naut Aran,Val d'Aran,973 64 52 71,,973 64 41 36,328475.854368717,4730442.6562270215,0.905546,42.707298,eragarona@aran.org,http://www.xanascat.cat/showhostel.tjc?id=237&index=20,02/08/2018 06:16:53 AM +0000,Horari|De 8 a 23'30h.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24634,Alberg Center-Rambles,Alberg Center-Rambles,Turisme|Albergs de joventut||,," Carrer de l'Hospital, 63",,,08001,Barcelona,Barcelonès,93 412 40 69,,93 317 17 04,430657.069382459,4581327.890733923,2.170701866,41.38048709,reserves@center-ramblas.com,http://www.xanascat.cat/showhostel.tjc?id=237&index=25,02/08/2018 06:16:53 AM +0000,Horari|Obert les 24 hores.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24633,Alberg Casa Gran,Alberg Casa Gran,Turisme|Albergs de joventut||,," Carrer la Placeta, 12",,,43893,Altafulla,Tarragonès,977 65 07 79,,977 65 05 88,363668.6376283927,4555773.621389724,1.375509256,41.141831319,alberg.altafulla@gencat.cat,http://www.xanascat.cat/showhostelcont.tjc?id=237&index=0,02/08/2018 06:16:53 AM +0000,Horari|De 10 a 20 h (hivern). De 10 a 23 h (estiu).|Observacions|És un alberg que gestiona directament l'Agència Catalana de la Joventut.,
24632,Alberg Ca la Jepa,Alberg Ca la Jepa,Turisme|Albergs de joventut||,," Carrer del Frontó, 7",,,43595,Prat de Comte,Terra Alta,977 428 278,,977 511 511,281683.9759725713,4540149.979226373,0.404916883,40.983327607,,http://www.xanascat.cat/showhostel.tjc?id=237&index=37,02/08/2018 06:16:53 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24631,Alberg Be Hostels Sound,Alberg Be Hostels Sound,Turisme|Albergs de joventut||,," Carrer Nou de la Rambla, 91",,,08001,Barcelona,Barcelonès,93 185 08 00,,93 185 08 03,430686.5425804572,4580820.781724059,2.170993531,41.375858342,info@barcelonasoundhostel.com,http://www.xanascat.cat/showhostel.tjc?id=237&index=38,02/08/2018 06:16:53 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut,
24630,Alberg Be Hostels Mar,Alberg Be Hostels Mar,Turisme|Albergs de joventut||,," Carrer de Sant Pau, 80",,,08001,Barcelona,Barcelonès,93 324 85 30,,93 324 85 31,430606.1876449873,4580977.501576737,2.170133532,41.377326854,info@barcelonamar.com,http://www.xanascat.cat/showhostel.tjc?id=237&index=36,02/08/2018 06:16:53 AM +0000,Horari|Obert les 24 hores.|Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
24628,Alberg Anna Maria Janer,Alberg Anna Maria Janer,Turisme|Albergs de joventut||,," Carrer dels Forns, 19",,,17527,Llívia,Cerdanya,,,,416253.3635109495,4701849.592882303,1.982440593,42.464471284,,http://www.xanascat.cat/showhostel.tjc?id=237&index=31,02/08/2018 06:16:54 AM +0000,Observacions|És un alberg acreditat per l'Agència Catalana de la Joventut.,
1146346,Alberg Molí de Sant Oleguer,Alberg Molí de Sant Oleguer,Turisme|Albergs de joventut||,," Camí de Can Quadres, 179",,,08203,Sabadell,Vallès Occidental,,,,426957.789,4599053.894,2.124320498,41.539808405,,https://www.xanascat.cat/showhostel.tjc?id=237&index=50,02/08/2018 06:16:53 AM +0000,,
